StartTime: 2020-10-29 14:41:27.171
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz
0x50	 14:45:44.285	0.7197	0.5918	0.3594	-0.1831	-0.1221	0.0000	59.0515	-46.1700	-41.3745	25.40	0	0	0
0x50	 14:45:44.384	0.7192	0.5903	0.3589	0.0000	-0.2441	0.0000	59.0350	-46.1591	-41.3690	25.42	0	0	0
0x50	 14:45:44.483	0.7173	0.5938	0.3584	0.0610	-0.1221	0.0000	59.0405	-46.1591	-41.3855	25.41	0	0	0
0x50	 14:45:44.591	0.7192	0.5913	0.3584	0.0000	0.0000	0.0000	59.0295	-46.1646	-41.4130	25.40	0	0	0
0x50	 14:45:44.682	0.7178	0.5918	0.3589	0.0000	-0.0610	-0.0610	59.0295	-46.1536	-41.4075	25.41	0	0	0
0x50	 14:45:44.782	0.7188	0.5918	0.3589	0.1221	0.0000	0.0000	59.0295	-46.1591	-41.4294	25.41	0	0	0
0x50	 14:45:44.881	0.7183	0.5923	0.3584	0.0610	-0.1221	0.0000	59.0186	-46.1536	-41.4294	25.41	0	0	0
0x50	 14:45:45.000	0.7188	0.5913	0.3584	0.0000	0.0000	-0.0610	59.0240	-46.1536	-41.4514	25.41	0	0	0
0x50	 14:45:45.080	0.7168	0.5933	0.3594	0.0610	0.0610	0.0000	59.0131	-46.1481	-41.4569	25.44	0	0	0
0x50	 14:45:45.179	0.7207	0.5898	0.3579	0.0000	-0.1221	0.0000	59.0131	-46.1591	-41.4844	25.41	0	0	0
0x50	 14:45:45.278	0.7168	0.5938	0.3584	0.0000	-0.0610	0.0000	59.0131	-46.1426	-41.4624	25.40	0	0	0
0x50	 14:45:45.378	0.7188	0.5903	0.3594	0.1221	0.0000	0.0000	59.0076	-46.1591	-41.5118	25.41	0	0	0
0x50	 14:45:45.478	0.7173	0.5938	0.3589	0.0000	0.0000	0.0000	59.0131	-46.1481	-41.5063	25.41	0	0	0
0x50	 14:45:45.584	0.7207	0.5889	0.3574	0.1221	0.0000	0.0000	59.0021	-46.1536	-41.5338	25.42	0	0	0
0x50	 14:45:45.676	0.7173	0.5938	0.3594	0.1221	0.0610	0.0000	59.0076	-46.1426	-41.5118	25.39	0	0	0
0x50	 14:45:45.776	0.7168	0.5923	0.3589	-0.6714	-0.8545	-0.0610	59.0021	-46.1591	-41.5668	25.40	0	0	0
0x50	 14:45:45.875	0.7217	0.5889	0.3584	0.9766	0.6714	0.1221	59.0186	-46.1481	-41.5778	25.38	0	0	0
0x50	 14:45:45.988	0.7158	0.5947	0.3594	-0.5493	-0.3662	-0.0610	58.9911	-46.1426	-41.5338	25.41	0	0	0
0x50	 14:45:46.074	0.7192	0.5894	0.3574	0.3052	-0.1831	0.0000	59.0021	-46.1536	-41.6052	25.39	0	0	0
0x50	 14:45:46.174	0.7188	0.5933	0.3594	-0.0610	0.0000	0.0000	59.0131	-46.1481	-41.5833	25.41	0	0	0
0x50	 14:45:46.273	0.7168	0.5913	0.3594	-0.1831	-0.1831	-0.1221	58.9801	-46.1481	-41.5997	25.43	0	0	0
0x50	 14:45:46.394	0.7188	0.5918	0.3599	0.3662	0.0000	0.0610	59.0186	-46.1536	-41.6327	25.40	0	0	0
0x50	 14:45:46.472	0.7178	0.5938	0.3569	-0.3052	-0.0610	0.0000	58.9966	-46.1426	-41.6217	25.38	0	0	0
0x50	 14:45:46.572	0.7188	0.5898	0.3584	0.0000	-0.6714	0.0000	59.0076	-46.1481	-41.6602	25.37	0	0	0
0x50	 14:45:46.671	0.7192	0.5933	0.3579	0.3052	0.3662	0.0000	59.0131	-46.1371	-41.6547	25.35	0	0	0
0x50	 14:45:46.770	0.7139	0.5879	0.3687	-0.7935	-0.8545	-0.0610	58.9801	-46.1426	-41.6766	25.38	0	0	0
0x50	 14:45:46.870	0.7202	0.5913	0.3584	1.4038	0.7324	0.1221	59.0295	-46.1426	-41.7151	25.41	0	0	0
0x50	 14:45:46.969	0.7144	0.5947	0.3623	-1.1597	-0.7324	-0.0610	58.9801	-46.1371	-41.6766	25.39	0	0	0
0x50	 14:45:47.068	0.7202	0.5859	0.3589	0.3052	-0.6104	0.0000	59.0021	-46.1536	-41.7645	25.41	0	0	0
0x50	 14:45:47.168	0.7163	0.5967	0.3618	0.3662	0.7935	0.0000	59.0186	-46.1261	-41.7041	25.41	0	0	0
0x50	 14:45:47.268	0.7178	0.5879	0.3618	-0.3052	-0.6714	-0.0610	58.9691	-46.1371	-41.7535	25.43	0	0	0
0x50	 14:45:47.367	0.7192	0.5933	0.3599	0.3662	0.0000	0.0610	59.0240	-46.1371	-41.7590	25.41	0	0	0
0x50	 14:45:47.466	0.7173	0.5918	0.3608	-0.4272	-0.0610	0.0000	58.9801	-46.1316	-41.7590	25.36	0	0	0
0x50	 14:45:47.566	0.7207	0.5889	0.3594	0.5493	-0.1221	0.0610	59.0021	-46.1371	-41.7920	25.41	0	0	0
0x50	 14:45:47.665	0.7148	0.5967	0.3599	-0.3052	0.0000	-0.0610	58.9966	-46.1261	-41.7700	25.39	0	0	0
0x50	 14:45:47.765	0.7197	0.5879	0.3589	0.1831	-0.3052	0.0000	58.9801	-46.1371	-41.8414	25.38	0	0	0
0x50	 14:45:47.864	0.7168	0.5942	0.3608	0.0000	0.0610	0.0000	59.0021	-46.1206	-41.7975	25.41	0	0	0
0x50	 14:45:47.964	0.7183	0.5903	0.3579	0.0000	-0.0610	0.0000	58.9691	-46.1261	-41.8359	25.40	0	0	0
0x50	 14:45:48.063	0.7173	0.5928	0.3608	0.0000	-0.2441	0.0000	58.9856	-46.1206	-41.8414	25.37	0	0	0
0x50	 14:45:48.163	0.7183	0.5913	0.3599	0.1221	0.1831	0.0000	58.9746	-46.1206	-41.8579	25.37	0	0	0
0x50	 14:45:48.262	0.7178	0.5918	0.3594	0.3662	0.0610	0.0000	58.9746	-46.1151	-41.8524	25.39	0	0	0
0x50	 14:45:48.361	0.7168	0.5928	0.3594	-0.3662	-0.4883	0.0000	58.9746	-46.1261	-41.8799	25.41	0	0	0
0x50	 14:45:48.461	0.7202	0.5889	0.3608	0.4883	0.3662	0.0000	58.9746	-46.1206	-41.9019	25.41	0	0	0
